,C in fuel,C stored,CO2 intensity,CO2 stored,FOM,VOM,c_b,c_v,capacity,capture rate,capture_rate,compression-electricity-input,compression-heat-output,discount rate,efficiency,efficiency-heat,electricity-input,fuel,heat-input,heat-output,investment,lifetime,min_fill_level,p_nom_ratio,fixed,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
CO2 submarine pipeline,,,0,,0.5,0,,,,,,,,0.07,1,,,0,,,4000,25,,,363.2420689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FT fuel transport ship,,,0,,5,0,,,75000,,,,,0.07,1,,,0,,,31700578.34,15,,,5065582.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fischer-Tropsch,,,0,,3,0,,,,0.98,,,,0.07,0.8,,,0,,,650711.26,20,,,80943.87745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gasnetz,,,0,,2.5,0,,,,,,,,0.07,1,,,0,,,28000,30,,,2956.419298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General liquid hydrocarbon storage (crude),,,0,,6.25,0,,,,,,,,0.07,1,,,0,,,135.83,30,,,19.43542619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General liquid hydrocarbon storage (product),,,0,,6.25,0,,,,,,,,0.07,1,,,0,,,169.79,30,,,24.29464045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2 (g) fill compressor station,,,0,,1.7,0,,,,,,,,0.07,1,,,0,,,4478,20,,,498.8175215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2 (g) pipeline,,,0,,3.17,0,,,,,,,,0.07,1,,,0,,,226.47,50,,,23.58908113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2 (g) pipeline repurposed,,,0,,3.17,0,,,,,,,,0.07,1,,,0,,,105.88,50,,,11.02844487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2 (g) submarine pipeline,,,0,,3,0,,,,,,,,0.07,1,,,0,,,329.37,30,,,36.42384372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
